item;BA S/E SANTA LUISA 154KV BP1;addValue
2022-01-23 17;0;0
2022-01-23 18;0;0
2022-01-23 19;335;3,35
2022-01-23 20;6753;67,53
2022-01-23 21;8716;87,16
2022-01-23 22;7813;78,13
2022-01-23 23;7813;78,13
2022-01-23 24;7813;78,13
2022-01-24 01;7741;77,41
2022-01-24 02;7741;77,41
2022-01-24 03;7741;77,41
2022-01-24 04;7741;77,41
2022-01-24 05;7832;78,32
2022-01-24 06;7877;78,77
2022-01-24 07;7924;79,24
2022-01-24 08;7919;79,19
2022-01-24 09;8095;80,95
2022-01-24 10;5634;56,34
2022-01-24 11;4185;41,85
2022-01-24 12;5253;52,53
2022-01-24 13;6362;63,62
2022-01-24 14;6954;69,54
2022-01-24 15;8356;83,56
2022-01-24 16;10219;102,19
2022-01-24 17;9956;99,56
2022-01-24 18;9956;99,56
2022-01-24 19;9565;95,65
2022-01-24 20;10623;106,23
2022-01-24 21;16119;161,19
2022-01-24 22;16119;161,19
2022-01-24 23;13590;135,9
2022-01-24 24;8070;80,7
2022-01-25 01;7332;73,32
2022-01-25 02;7565;75,65
2022-01-25 03;8226;82,26
2022-01-25 04;8618;86,18
2022-01-25 05;7804;78,04
2022-01-25 06;7804;78,04
2022-01-25 07;8136;81,36
2022-01-25 08;9268;92,68
2022-01-25 09;6897;68,97
2022-01-25 10;4110;41,1
2022-01-25 11;4110;41,1
2022-01-25 12;4110;41,1
2022-01-25 13;4110;41,1
2022-01-25 14;4110;41,1
2022-01-25 15;4151;41,51
2022-01-25 16;5338;53,38
2022-01-25 17;5338;53,38
2022-01-25 18;5312;53,12
2022-01-25 19;4790;47,9
2022-01-25 20;13547;135,47
2022-01-25 21;15608;156,08
2022-01-25 22;12694;126,94
2022-01-25 23;14517;145,17
2022-01-25 24;14941;149,41
2022-01-26 01;15932;159,32
2022-01-26 02;15645;156,45
2022-01-26 03;15789;157,89
2022-01-26 04;17138;171,38
2022-01-26 05;19551;195,51
2022-01-26 06;19551;195,51
2022-01-26 07;19551;195,51
2022-01-26 08;18563;185,63
2022-01-26 09;9124;91,24
2022-01-26 10;6093;60,93
2022-01-26 11;3886;38,86
2022-01-26 12;134;1,34
2022-01-26 13;134;1,34
2022-01-26 14;12411;124,11
2022-01-26 15;12611;126,11
2022-01-26 16;8024;80,24
2022-01-26 17;8024;80,24
2022-01-26 18;2169;21,69
2022-01-26 19;1532;15,32
2022-01-26 20;9976;99,76
2022-01-26 21;15772;157,72
2022-01-26 22;16160;161,6
2022-01-26 23;14689;146,89
2022-01-26 24;14040;140,4
2022-01-27 01;15957;159,57
2022-01-27 02;15957;159,57
2022-01-27 03;15957;159,57
2022-01-27 04;15957;159,57
2022-01-27 05;18355;183,55
2022-01-27 06;20563;205,63
2022-01-27 07;21440;214,4
2022-01-27 08;19722;197,22
2022-01-27 09;10359;103,59
2022-01-27 10;7120;71,2
2022-01-27 11;5308;53,08
2022-01-27 12;10728;107,28
2022-01-27 13;10728;107,28
2022-01-27 14;13551;135,51
2022-01-27 15;16568;165,68
2022-01-27 16;16568;165,68
2022-01-27 17;8077;80,77
2022-01-27 18;5001;50,01
2022-01-27 19;4162;41,62
2022-01-27 20;9837;98,37
2022-01-27 21;10619;106,19
2022-01-27 22;10619;106,19
2022-01-27 23;10619;106,19
2022-01-27 24;10619;106,19
2022-01-28 01;9993;99,93
2022-01-28 02;9993;99,93
2022-01-28 03;9993;99,93
2022-01-28 04;9993;99,93
2022-01-28 05;9993;99,93
2022-01-28 06;9993;99,93
2022-01-28 07;12983;129,83
2022-01-28 08;13767;137,67
2022-01-28 09;7486;74,86
2022-01-28 10;6616;66,16
2022-01-28 11;9760;97,6
2022-01-28 12;15810;158,1
2022-01-28 13;6224;62,24
2022-01-28 14;5409;54,09
2022-01-28 15;5409;54,09
2022-01-28 16;7790;77,9
2022-01-28 17;9623;96,23
2022-01-28 18;0;0
2022-01-28 19;11;0,11
2022-01-28 20;5908;59,08
2022-01-28 21;7962;79,62
2022-01-28 22;7962;79,62
2022-01-28 23;7962;79,62
2022-01-28 24;9038;90,38
2022-01-29 01;7698;76,98
2022-01-29 02;8416;84,16
2022-01-29 03;7698;76,98
2022-01-29 04;7698;76,98
2022-01-29 05;7698;76,98
2022-01-29 06;7698;76,98
2022-01-29 07;7698;76,98
2022-01-29 08;7406;74,06
2022-01-29 09;7215;72,15
2022-01-29 10;5478;54,78
2022-01-29 11;5352;53,52
2022-01-29 12;5370;53,7
2022-01-29 13;3064;30,64
2022-01-29 14;39;0,39
2022-01-29 15;0;0
2022-01-29 16;0;0
2022-01-29 17;0;0
2022-01-29 18;0;0
2022-01-29 19;0;0
2022-01-29 20;4743;47,43
2022-01-29 21;10525;105,25
2022-01-29 22;10783;107,83
2022-01-29 23;10839;108,39
2022-01-29 24;8009;80,09
2022-01-30 01;6627;66,27
2022-01-30 02;6883;68,83
2022-01-30 03;7031;70,31
2022-01-30 04;7150;71,5
2022-01-30 05;7034;70,34
2022-01-30 06;7011;70,11
2022-01-30 07;7011;70,11
2022-01-30 08;6906;69,06
2022-01-30 09;2731;27,31
2022-01-30 10;0;0
2022-01-30 11;0;0
2022-01-30 12;0;0
2022-01-30 13;0;0
2022-01-30 14;0;0
2022-01-30 15;0;0
2022-01-30 16;0;0
2022-01-30 17;0;0
2022-01-30 18;0;0
2022-01-30 19;0;0
2022-01-30 20;4893;48,93
2022-01-30 21;7526;75,26
2022-01-30 22;7368;73,68
2022-01-30 23;7210;72,1
2022-01-30 24;6929;69,29
2022-01-31 01;6440;64,4
2022-01-31 02;6478;64,78
2022-01-31 03;6547;65,47
2022-01-31 04;6547;65,47
2022-01-31 05;6547;65,47
2022-01-31 06;6721;67,21
2022-01-31 07;7648;76,48
2022-01-31 08;7349;73,49
2022-01-31 09;5402;54,02
2022-01-31 10;4809;48,09
2022-01-31 11;3786;37,86
2022-01-31 12;3786;37,86
2022-01-31 13;3786;37,86
2022-01-31 14;3786;37,86
2022-01-31 15;3786;37,86
2022-01-31 16;3786;37,86
2022-01-31 17;3786;37,86
2022-01-31 18;3786;37,86
2022-01-31 19;4268;42,68
2022-01-31 20;7739;77,39
2022-01-31 21;7681;76,81
2022-01-31 22;7626;76,26
2022-01-31 23;7737;77,37
2022-01-31 24;7675;76,75
2022-02-01 01;7231;72,31
2022-02-01 02;7302;73,02
2022-02-01 03;7302;73,02
2022-02-01 04;7684;76,84
2022-02-01 05;7719;77,19
2022-02-01 06;7719;77,19
2022-02-01 07;7719;77,19
2022-02-01 08;7068;70,68
2022-02-01 09;5419;54,19
2022-02-01 10;5486;54,86
2022-02-01 11;5461;54,61
2022-02-01 12;5419;54,19
2022-02-01 13;5441;54,41
2022-02-01 14;5496;54,96
2022-02-01 15;5496;54,96
2022-02-01 16;5496;54,96
2022-02-01 17;5470;54,7
2022-02-01 18;5419;54,19
2022-02-01 19;6711;67,11
2022-02-01 20;8132;81,32
2022-02-01 21;17061;170,61
2022-02-01 22;17061;170,61
2022-02-01 23;14289;142,89
2022-02-01 24;9770;97,7
2022-02-02 01;10975;109,75
2022-02-02 02;10975;109,75
2022-02-02 03;10975;109,75
2022-02-02 04;10975;109,75
2022-02-02 05;16304;163,04
2022-02-02 06;16896;168,96
2022-02-02 07;16896;168,96
2022-02-02 08;15382;153,82
2022-02-02 09;6578;65,78
2022-02-02 10;5409;54,09
2022-02-02 11;5409;54,09
2022-02-02 12;5409;54,09
2022-02-02 13;5409;54,09
2022-02-02 14;133;1,33
2022-02-02 15;18;0,18
2022-02-02 16;0;0
2022-02-02 17;0;0
2022-02-02 18;0;0
2022-02-02 19;5168;51,68
2022-02-02 20;8484;84,84
2022-02-02 21;10894;108,94
2022-02-02 22;12723;127,23
2022-02-02 23;8879;88,79
2022-02-02 24;7584;75,84
2022-02-03 01;7887;78,87
2022-02-03 02;7699;76,99
2022-02-03 03;7401;74,01
2022-02-03 04;7817;78,17
2022-02-03 05;7817;78,17
2022-02-03 06;9805;98,05
2022-02-03 07;10596;105,96
2022-02-03 08;9187;91,87
2022-02-03 09;5269;52,69
2022-02-03 10;4164;41,64
2022-02-03 11;4164;41,64
2022-02-03 12;4164;41,64
2022-02-03 13;1041;10,41
2022-02-03 14;5489;54,89
2022-02-03 15;5489;54,89
2022-02-03 16;5489;54,89
2022-02-03 17;5489;54,89
2022-02-03 18;5489;54,89
2022-02-03 19;6302;63,02
2022-02-03 20;7518;75,18
2022-02-03 21;9907;99,07
2022-02-03 22;10361;103,61
2022-02-03 23;9983;99,83
2022-02-03 24;9863;98,63
2022-02-04 01;8254;82,54
2022-02-04 02;8254;82,54
2022-02-04 03;8254;82,54
2022-02-04 04;9416;94,16
2022-02-04 05;8254;82,54
2022-02-04 06;8709;87,09
2022-02-04 07;9770;97,7
2022-02-04 08;8609;86,09
2022-02-04 09;5210;52,1
2022-02-04 10;4123;41,23
2022-02-04 11;4123;41,23
2022-02-04 12;4123;41,23
2022-02-04 13;5316;53,16
2022-02-04 14;5357;53,57
2022-02-04 15;5357;53,57
2022-02-04 16;4164;41,64
2022-02-04 17;1637;16,37
2022-02-04 18;0;0
2022-02-04 19;3508;35,08
2022-02-04 20;7952;79,52
2022-02-04 21;8630;86,3
2022-02-04 22;7971;79,71
2022-02-04 23;7866;78,66
2022-02-04 24;7675;76,75
2022-02-05 01;6899;68,99
2022-02-05 02;7489;74,89
2022-02-05 03;7722;77,22
2022-02-05 04;7984;79,84
2022-02-05 05;7828;78,28
2022-02-05 06;7352;73,52
2022-02-05 07;6764;67,64
2022-02-05 08;5083;50,83
2022-02-05 09;2929;29,29
2022-02-05 10;0;0
2022-02-05 11;0;0
2022-02-05 12;0;0
2022-02-05 13;0;0
2022-02-05 14;0;0
2022-02-05 15;0;0
2022-02-05 16;0;0
2022-02-05 17;0;0
2022-02-05 18;0;0
2022-02-05 19;0;0
2022-02-05 20;5407;54,07
2022-02-05 21;7787;77,87
2022-02-05 22;7787;77,87
2022-02-05 23;7580;75,8
2022-02-05 24;7605;76,05
2022-02-06 01;7735;77,35
2022-02-06 02;7369;73,69
2022-02-06 03;7177;71,77
2022-02-06 04;6833;68,33
2022-02-06 05;6937;69,37
2022-02-06 06;6941;69,41
2022-02-06 07;6941;69,41
2022-02-06 08;5743;57,43
2022-02-06 09;511;5,11
2022-02-06 10;0;0
2022-02-06 11;0;0
2022-02-06 12;1308;13,08
2022-02-06 13;5233;52,33
2022-02-06 14;5233;52,33
2022-02-06 15;5233;52,33
2022-02-06 16;5233;52,33
2022-02-06 17;5233;52,33
2022-02-06 18;5233;52,33
2022-02-06 19;5622;56,22
2022-02-06 20;7967;79,67
2022-02-06 21;8080;80,8
2022-02-06 22;8173;81,73
2022-02-06 23;8213;82,13
2022-02-06 24;7930;79,3
2022-02-07 01;7598;75,98
2022-02-07 02;7598;75,98
